window_start_utc,window_end_utc,dst_ip,score,flow_count,src_ip_nunique
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.17,0.229873072,1205,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.11,0.226202007,1281,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.19,0.224801905,1126,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.14,0.2231001,1321,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.12,0.221206064,1271,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.13,0.21986159,1246,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.16,0.218268746,1157,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.15,0.217054132,1362,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.10,0.21654448,1298,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.18,0.208372345,1503,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,175.45.176.2,0.132844931,15,8
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,175.45.176.1,0.088500177,1126,9
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,175.45.176.3,0.0798967731,803,8
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,175.45.176.0,0.0758495565,750,9
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,192.168.241.50,0.0405816751,28,1
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,59.166.0.9,0.0289714481,49,10
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,59.166.0.8,0.0243198118,48,10
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,59.166.0.3,0.0213418879,42,10
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,192.168.241.243,0.019518293,1,1
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,59.166.0.4,0.0192689819,37,10
