window_start_utc,window_end_utc,dst_ip,score,flow_count,src_ip_nunique
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.17,0.22989415,1205,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.11,0.226198793,1281,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.19,0.22479935,1126,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.14,0.223118588,1321,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.12,0.221229646,1271,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.13,0.2198518,1246,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.16,0.218255932,1157,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.15,0.217051176,1362,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.10,0.21656746,1298,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,149.171.126.18,0.208400592,1503,4
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,175.45.176.2,0.132749531,15,8
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,175.45.176.1,0.088503357,1126,9
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,175.45.176.3,0.0799121365,803,8
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,175.45.176.0,0.0758672707,750,9
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,192.168.241.50,0.0405777259,28,1
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,59.166.0.9,0.0289651939,49,10
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,59.166.0.8,0.0243163572,48,10
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,59.166.0.3,0.0213349892,42,10
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,192.168.241.243,0.019513888,1,1
1970-01-01T00:00:00+00:00,1970-01-01T01:00:00+00:00,59.166.0.4,0.0192664974,37,10
